Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202607241140,Central Pier,Northwest,12,14
202607241140,Chek Lap Kok,Northwest,10,12
202607241140,Cheung Chau,South,6,11
202607241140,Cheung Chau Beach,Variable,2,6
202607241140,Green Island,South,6,8
202607241140,Hong Kong Sea School,Southeast,4,8
202607241140,Kai Tak,Southwest,6,10
202607241140,King's Park,West,8,12
202607241140,Lamma Island,West,5,8
202607241140,Lau Fau Shan,West,14,19
202607241140,Ngong Ping,Variable,8,12
202607241140,North Point,West,9,14
202607241140,Peng Chau,Southeast,6,12
202607241140,Sai Kung,South,14,17
202607241140,Sha Chau,Variable,9,15
202607241140,Sha Tin,North,6,12
202607241140,Shek Kong,N/A,N/A,N/A
202607241140,Stanley,Northwest,4,6
202607241140,Star Ferry,West,10,11
202607241140,Ta Kwu Ling,Southwest,5,8
202607241140,Tai Mei Tuk,Southeast,N/A,N/A
202607241140,Tai Po Kau,East,6,11
202607241140,Tap Mun,East,9,12
202607241140,Tate's Cairn,Variable,1,11
202607241140,Tseung Kwan O,East,9,17
202607241140,Tsing Yi,South,8,12
202607241140,Tuen Mun,Variable,4,14
202607241140,Waglan Island,Southwest,5,6
202607241140,Wetland Park,Variable,4,14
202607241140,Wong Chuk Hang,South,5,10
